,fips,asian,blackp,hispanic,indian,island,multi,other,pop,whitep,income2018,error2018
665,17141,0.004793035123464867,0.00904903078677309,0.0885541058377105,0.0020103183356076043,0.0002728003439445203,0.01411327738004,0.03769330990522833,53497.0,0.8865607417238351,61497.90909090909,8759.727272727272
666,17143,0.0313946132315249,0.1771835555031261,0.03803016719036537,0.0028547620834986644,0.0003109268930903944,0.02808830847105,0.015775762222913332,186494.0,0.727183668107285,53337.395833333336,8946.375
667,17145,0.004045771812080537,0.08332845637583892,0.026910872483221486,0.0027478299776286354,0.0003445190156599553,0.013935615212527964,0.0163896644295302,22350.0,0.8708632662192393,49575.5,8246.833333333334
668,17147,0.0027901249327515094,0.0035998565365532907,0.009747325004483234,0.0015051706617251479,0.00020503317592205153,0.009541395182019248,0.0018889951581086736,16729.0,0.9727220993484368,66488.75,7437.75
669,17149,0.0023123554473524046,0.016477115033475348,0.0104965307364577,0.0016500304321363359,0.0004470480827754109,0.007080401704199635,0.00227900182592818,16430.0,0.9617149117468047,44058.4,6023.6
670,17151,0.0025425055928411633,0.06048545861297539,0.01425503355704698,0.00637248322147651,0.0,0.008627516778523489,0.0047975391498881435,4470.0,0.9072595078299776,39638.5,12851.5
671,17153,0.002017042687875345,0.3236388573283558,0.01596591462424931,0.004542606719688362,0.0005085213439376725,0.019542606719688365,0.006525564031813018,6161.0,0.6387503652004545,34880.5,3902.5
672,17155,0.002,0.004965367965367966,0.041878787878787876,0.0009913419913419913,0.0,0.011487012987012987,0.013426406926406925,6006.0,0.9411645021645022,65174.5,6601.5
673,17157,0.0032427709403751947,0.09755514398374955,0.025918747759588957,0.0018567331819811207,0.00045253315808340306,0.009325367427410683,0.011905394909786118,33476.0,0.864092484167762,52111.444444444445,7146.333333333333
674,17159,0.00731374360869833,0.004889730795293538,0.012543091233906243,0.0014198238156841003,0.0,0.009182344606665433,0.003973510749707387,16233.0,0.9654938705106879,47202.6,8716.4
675,17161,0.016336444227562932,0.09004486058585118,0.1160358735580768,0.0026708484133761675,0.00028828297615658845,0.030240650373442864,0.044386828514497184,147546.0,0.7574312282271295,51448.65,7727.575
676,17163,0.012067993305092275,0.3047481189086708,0.032511775335485965,0.0023843091803181565,0.0008119501140504193,0.022199606748229996,0.011590803388926743,270056.0,0.6289921979145067,53362.5,7831.983333333334
677,17165,0.004168506402279935,0.03994472765222976,0.0137514550636214,0.0035309276281459477,0.0006126520290611327,0.017504435435314894,0.0038306908039979133,24913.0,0.9234667844097459,42827.88888888889,8101.777777777777
678,17167,0.016251173625705828,0.11822614640569218,0.017634608664826672,0.0019669055275618463,0.00018653432253817133,0.021876099561947682,0.005300757096194262,197465.0,0.8254163573291469,58030.58490566038,8393.830188679245
679,17169,0.001303950159066808,0.03188865323435843,0.012042285259809118,0.0014346500530222695,0.0,0.005,0.004467391304347826,7544.0,0.9494333244962884,52347.0,10117.333333333334
680,17171,0.0023484593837535014,0.0016515406162464984,0.008045378151260505,0.0016515406162464984,0.0,0.007348459383753501,0.0010453781512605041,5355.0,0.9796061624649859,54598.5,11088.5
681,17173,0.002535885167464115,0.0020440459687877297,0.00814631310647051,0.0016962393238832,0.00022353888118767606,0.005785404462728614,0.0017724813307695747,22363.0,0.9805531458212224,52476.0,6968.166666666667
682,17175,0.003347847847847848,0.004550717384050718,0.010101434768101436,0.0015507173840507173,0.0,0.01020286953620287,0.0035507173840507176,5994.0,0.9717971304637971,53146.5,7365.0
683,17177,0.006141854079771961,0.08951610739661711,0.029518957892309947,0.0018176730732954662,0.00024388505795309257,0.025113873111022617,0.01161379975267758,47711.0,0.851159250487309,49811.07692307692,6212.461538461538
684,17179,0.007368280721449992,0.010153219492739708,0.01860801069471321,0.0026523627339468513,0.00014645405261680725,0.012717845694787067,0.005046663810804024,135394.0,0.9498275772929377,63697.96666666667,7580.766666666666
685,17181,0.002830188679245283,0.0085071316262354,0.04835776055705301,0.005300202156334232,0.0002117026055705301,0.015178571428571428,0.019680480682839174,17808.0,0.9240738993710691,49711.2,10622.0
686,17183,0.006903852986217457,0.1295137274119449,0.04219837059724349,0.0024273690658499227,0.00015958346094946402,0.02171649617151608,0.014473310872894331,81625.0,0.8036503767228178,45587.958333333336,7364.708333333333
687,17185,0.0059548840713149745,0.006489411567757596,0.013368042186322926,0.001748890934962752,0.00036092742948020426,0.01123913953293714,0.005048212940487151,11947.0,0.9627462124382691,49892.75,10308.0
688,17187,0.00521771050996781,0.01741870446715988,0.08399350539334727,0.0023994465465635062,0.0008764330490766362,0.01606697916078387,0.04543372677472187,17707.0,0.8799946913649969,53878.2,9382.0
689,17189,0.0029092144604512095,0.0068566865996194624,0.013123674911660776,0.0012578825767871704,0.0002578825767871704,0.007593163903234575,0.00410756999184561,14716.0,0.9690017667844523,59736.0,6954.0
690,17191,0.00422183770883055,0.0025326968973747015,0.01046909307875895,0.0020134844868735084,0.0,0.007296658711217184,0.0034881861575179,16760.0,0.9749594272076372,50318.8,6276.2
691,17193,0.0022108421411524033,0.003691305830207979,0.01071578588475963,0.003150767132628708,0.00040259120354585746,0.007307193999318105,0.0019486532560518241,14665.0,0.9758531878622569,48882.4,7104.8
692,17195,0.004800198297377689,0.013339464597080242,0.11031271154569387,0.0030249068344216897,5.815583438750043e-05,0.02213250025641902,0.034974187151697506,58498.0,0.8593851413723544,55377.833333333336,8050.055555555556
693,17197,0.04551097319794557,0.11179244052187258,0.1561903610012398,0.002513989904953067,0.00014331867288505816,0.022817729795147294,0.05759187525827971,677560.0,0.672349892260464,84026.99337748345,11682.735099337748
694,17199,0.008490799764907997,0.038183627951836274,0.019575839775758396,0.0037644558976445584,7.24565607245656e-05,0.016589387705893875,0.00548028090480281,66357.0,0.9150546739605467,49801.066666666666,6993.733333333334
695,17201,0.023034860092255798,0.12231048952469974,0.10897238422303955,0.003240024249320952,0.00017586853887680936,0.028105091680044443,0.04856432843605429,295266.0,0.7253655720604474,51294.38157894737,7815.184210526316
696,17203,0.005469661700806952,0.004799425822470516,0.013628983033312643,0.0017150320711773227,0.0,0.010864059590316574,0.0030245706600455207,38664.0,0.9645437616387338,70579.33333333333,7763.888888888889
697,18001,0.0022276732486113935,0.0030582487567976267,0.041054555500625235,0.002097100648500887,0.00014456044435397098,0.008986332044086427,0.013751155960101201,34387.0,0.9457382731846337,53665.42857142857,6971.428571428572
698,18003,0.027422670257704836,0.11711694232668877,0.06497778115492968,0.0035077238277765126,0.0004871513442471625,0.029449777530119976,0.0294196420781867,355329.0,0.7648929414711438,52830.45263157895,7312.315789473684
699,18005,0.03430053129150715,0.018482837200822978,0.06205921035497564,0.0026325103523712795,0.0005676094486548428,0.015739042112665053,0.03179222335078262,76794.0,0.8702513477615438,61713.86666666667,10079.2
700,18007,0.001351818387169641,0.004788118364580981,0.04872611249152926,0.0013854754913033658,0.00026270612152699347,0.011161734809125818,0.021817822453128532,8854.0,0.9372184323469618,47413.0,6626.666666666667
701,18009,0.0014928716904276985,0.0038510888297039014,0.009200924330252234,0.0014869967100109667,0.00023601754660817798,0.01256838477205076,0.003107942973523422,12766.0,0.9714289519034937,43231.5,4660.5
702,18011,0.01652547669491525,0.008968626412429377,0.022370250706214692,0.001854237288135593,0.0001595515536723164,0.01342468220338983,0.0065120939265536715,56640.0,0.9383287959039548,84758.5,11119.4
703,18013,0.0024433801338407035,0.003297270699383283,0.011588833486419104,0.0031701220312294973,0.0,0.011296877050255873,0.0030326072693872197,15242.0,0.968453877443905,64808.5,12898.0
704,18015,0.0010775489952865294,0.0021924088315554455,0.03549575787645746,0.0017823368891094022,0.0,0.00961543041428926,0.017423865045894323,20155.0,0.9521216075415531,57199.857142857145,7933.571428571428
705,18017,0.010606554432068982,0.014683518965251755,0.12564404865780424,0.005160652876867012,0.0008222296360930042,0.01579038135810707,0.0703323153518452,38966.0,0.8374735410357749,46484.90909090909,7221.545454545455
706,18019,0.007865383917555702,0.06948620182887004,0.048596070106684076,0.0027738769141447133,0.00038761884026417015,0.02228068981783874,0.02646918317729879,110232.0,0.8518737299513752,55317.769230769234,8555.461538461539
707,18021,0.0024212718482707323,0.0033311640014875425,0.011579955373744889,0.0021393082930457417,0.00012885831164001488,0.008687690591297882,0.005183153588694682,26890.0,0.9723114912606918,53704.833333333336,7392.833333333333
708,18023,0.0021967252588490247,0.004214754394413677,0.13230502046713222,0.0026125090296171436,0.0,0.012706868528774378,0.06823428846616905,33224.0,0.8534006742114135,52450.75,7526.5
709,18025,0.001644824045552133,0.002247456361430038,0.011590217492765799,0.004268552226267152,0.0008922804069821713,0.011164566414636423,0.005892280406982172,10713.0,0.9697292075049004,42451.666666666664,8735.666666666666
710,18027,0.005237613751263904,0.005396739130434783,0.04154622724974722,0.002152774266936299,0.00023173660262891809,0.010816481294236603,0.02564847699696663,31648.0,0.9383594855915065,49668.0,9054.857142857143
711,18029,0.0036560033568445657,0.005940036365816133,0.01007443003576638,0.0017154274981517371,0.0004059783803224969,0.009771654644634043,0.0034383679341419074,50047.0,0.9690231782124803,66165.5,7899.2
712,18031,0.007110139860139859,0.0033947163947163944,0.016535625485625486,0.001524980574980575,0.0003434731934731934,0.008653185703185703,0.005893978243978244,25740.0,0.9632837218337218,53321.666666666664,8652.0
713,18033,0.004570613172915236,0.00336063283044786,0.024352580347204132,0.0022746844137081683,0.00035229614191317527,0.011601236293015654,0.008339246382303484,42223.0,0.957054235843024,55222.444444444445,6853.555555555556
714,18035,0.009720134952537159,0.06915125222017318,0.0177409727120531,0.002565848849759074,0.00042812587638415585,0.021100891468586146,0.005639392883548198,117671.0,0.8813812749105555,39744.63333333333,6278.266666666666
715,18037,0.004481295805581417,0.0028735944997493375,0.06015765475423143,0.00174609085917544,0.0003238797775072215,0.008787414356991097,0.03093745374680704,41889.0,0.9261142065936164,60211.0,8344.42857142857
716,18039,0.009722832166593271,0.05725988185807784,0.14112086515926883,0.00368839688396884,0.00039516296397531885,0.02496387914496429,0.07486629310737551,197559.0,0.7722187599653775,54877.555555555555,7577.444444444444
